LP13-A01 실제 진단 1회. exit1,36840ms. HTTP4003ms timeout. 정상 종료 확인 실패·root 보존, generic 사후진단 미실행.

개별 HTTP 실행 결과(전체 앱 PASS와 별개)
제목 | 수행내용 | 결과(pass/fail)
[http-timing] {"sequence":163,"timelineOrdinal":71,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":0,"bodyElapsedMs":0,"totalElapsedMs":0,"bytes":82,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":164,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":11920,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":165,"timelineOrdinal":72,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":0,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":82,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":166,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":11920,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":167,"timelineOrdinal":73,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":0,"bodyElapsedMs":0,"totalElapsedMs":0,"bytes":82,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":168,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":11964,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":169,"timelineOrdinal":74,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":0,"bodyElapsedMs":0,"totalElapsedMs":0,"bytes":82,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":170,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":12016,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":171,"timelineOrdinal":75,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":82,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":172,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":12055,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":173,"timelineOrdinal":76,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":0,"bodyElapsedMs":0,"totalElapsedMs":0,"bytes":82,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":174,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":12057,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":175,"timelineOrdinal":77,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":0,"bodyElapsedMs":0,"totalElapsedMs":0,"bytes":82,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":176,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":12054,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":177,"timelineOrdinal":78,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":82,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":178,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":12055,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":179,"timelineOrdinal":79,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":0,"bodyElapsedMs":0,"totalElapsedMs":0,"bytes":82,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":180,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":12042,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":181,"timelineOrdinal":80,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":27,"bodyElapsedMs":0,"totalElapsedMs":27,"bytes":81810,"phase":"complete","outcome":"ok"}
[trigger-timing] {"run":1,"sourceEndPts":"8100000000","tapPts":"8400000000","delta":"300000000"}
[http-timing] {"sequence":182,"timelineOrdinal":null,"processOrdinal":1,"method":"PUT","routeClass":"rule","status":200,"headerElapsedMs":1,"bodyElapsedMs":0,"totalElapsedMs":1,"bytes":520,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":183,"timelineOrdinal":null,"processOrdinal":1,"method":"GET","routeClass":"tap-events","status":200,"headerElapsedMs":9,"bodyElapsedMs":0,"totalElapsedMs":9,"bytes":9887,"phase":"complete","outcome":"ok"}
[dispatch-timing] {"run":1,"pts":"8400000000"}
[pass] S11-CI07 run1 actual tuple EventRecord reference
[http-timing] {"sequence":184,"timelineOrdinal":null,"processOrdinal":1,"method":"PUT","routeClass":"rule","status":200,"headerElapsedMs":2,"bodyElapsedMs":0,"totalElapsedMs":2,"bytes":521,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":185,"timelineOrdinal":81,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":13,"bodyElapsedMs":0,"totalElapsedMs":13,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":186,"timelineOrdinal":82,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[timeline-state] {"reason":"ok","rowCount":1,"jobCount":0,"outputCount":0,"referenceMatches":true,"truncated":false,"rows":[{"jobState":"not-created","completeness":"unknown","catalogState":"absent","playable":false,"request":{"timeBasis":"media-pts-ms","startTimeMs":"8400","endTimeMs":"8400","preMs":"750","postMs":"750"}}]}
[overlapping-sources] {"temporalOnly":true,"viewBasis":"timeline-mapping-slices","segmentCount":1,"startNs":"7650000000","endNs":"9150000000","unknownCount":0,"rows":[{"idHash":"e6b6259388e0f6d53ce024e2a8a46e3c135de9566eccdba6814c3c9334f7a72b","startPts":"8100000000","endPts":"8333333333","catalogState":"finalized","playable":true},{"idHash":"e6b6259388e0f6d53ce024e2a8a46e3c135de9566eccdba6814c3c9334f7a72b","startPts":"7633333333","endPts":"7733333333","catalogState":"finalized","playable":true},{"idHash":"e6b6259388e0f6d53ce024e2a8a46e3c135de9566eccdba6814c3c9334f7a72b","startPts":"7733333333","endPts":"7766666666","catalogState":"finalized","playable":true},{"idHash":"e6b6259388e0f6d53ce024e2a8a46e3c135de9566eccdba6814c3c9334f7a72b","startPts":"7766666666","endPts":"7800000000","catalogState":"finalized","playable":true},{"idHash":"e6b6259388e0f6d53ce024e2a8a46e3c135de9566eccdba6814c3c9334f7a72b","startPts":"7800000000","endPts":"7833333333","catalogState":"finalized","playable":true},{"idHash":"e6b6259388e0f6d53ce024e2a8a46e3c135de9566eccdba6814c3c9334f7a72b","startPts":"7833333333","endPts":"8066666666","catalogState":"finalized","playable":true},{"idHash":"e6b6259388e0f6d53ce024e2a8a46e3c135de9566eccdba6814c3c9334f7a72b","startPts":"8066666666","endPts":"8100000000","catalogState":"finalized","playable":true}]}
[http-timing] {"sequence":187,"timelineOrdinal":83,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":188,"timelineOrdinal":84,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":14,"bodyElapsedMs":0,"totalElapsedMs":14,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":189,"timelineOrdinal":85,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":190,"timelineOrdinal":86,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":191,"timelineOrdinal":87,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":192,"timelineOrdinal":88,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":193,"timelineOrdinal":89,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":194,"timelineOrdinal":90,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":195,"timelineOrdinal":91,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":196,"timelineOrdinal":92,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":197,"timelineOrdinal":93,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":13,"bodyElapsedMs":0,"totalElapsedMs":13,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":198,"timelineOrdinal":94,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":199,"timelineOrdinal":95,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":200,"timelineOrdinal":96,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":201,"timelineOrdinal":97,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":13,"bodyElapsedMs":0,"totalElapsedMs":13,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":202,"timelineOrdinal":98,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":203,"timelineOrdinal":99,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":204,"timelineOrdinal":100,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":9,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":205,"timelineOrdinal":101,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":206,"timelineOrdinal":102,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":207,"timelineOrdinal":103,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":208,"timelineOrdinal":104,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":209,"timelineOrdinal":105,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":210,"timelineOrdinal":106,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":211,"timelineOrdinal":107,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":212,"timelineOrdinal":108,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":213,"timelineOrdinal":109,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":214,"timelineOrdinal":110,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":215,"timelineOrdinal":111,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":216,"timelineOrdinal":112,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":217,"timelineOrdinal":113,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":218,"timelineOrdinal":114,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":13,"bodyElapsedMs":0,"totalElapsedMs":13,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":219,"timelineOrdinal":115,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":220,"timelineOrdinal":116,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":221,"timelineOrdinal":117,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":222,"timelineOrdinal":118,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":223,"timelineOrdinal":119,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":224,"timelineOrdinal":120,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":225,"timelineOrdinal":121,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":226,"timelineOrdinal":122,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":227,"timelineOrdinal":123,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":228,"timelineOrdinal":124,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":229,"timelineOrdinal":125,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":230,"timelineOrdinal":126,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":231,"timelineOrdinal":127,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":232,"timelineOrdinal":128,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":233,"timelineOrdinal":129,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":234,"timelineOrdinal":130,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":13,"bodyElapsedMs":0,"totalElapsedMs":13,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":235,"timelineOrdinal":131,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":236,"timelineOrdinal":132,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":237,"timelineOrdinal":133,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":238,"timelineOrdinal":134,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":239,"timelineOrdinal":135,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":240,"timelineOrdinal":136,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":241,"timelineOrdinal":137,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":242,"timelineOrdinal":138,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":243,"timelineOrdinal":139,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":244,"timelineOrdinal":140,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":245,"timelineOrdinal":141,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":246,"timelineOrdinal":142,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":247,"timelineOrdinal":143,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":248,"timelineOrdinal":144,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":249,"timelineOrdinal":145,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":250,"timelineOrdinal":146,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":13,"bodyElapsedMs":0,"totalElapsedMs":13,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":251,"timelineOrdinal":147,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":252,"timelineOrdinal":148,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":253,"timelineOrdinal":149,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":254,"timelineOrdinal":150,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":255,"timelineOrdinal":151,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":256,"timelineOrdinal":152,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":257,"timelineOrdinal":153,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":258,"timelineOrdinal":154,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":13,"bodyElapsedMs":0,"totalElapsedMs":13,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":259,"timelineOrdinal":155,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":260,"timelineOrdinal":156,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":261,"timelineOrdinal":157,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":262,"timelineOrdinal":158,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":263,"timelineOrdinal":159,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":264,"timelineOrdinal":160,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":10,"bodyElapsedMs":0,"totalElapsedMs":10,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":265,"timelineOrdinal":161,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":266,"timelineOrdinal":162,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":267,"timelineOrdinal":163,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":12,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":268,"timelineOrdinal":164,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":11,"bytes":1733,"phase":"complete","outcome":"ok"}
[http-timing] {"sequence":269,"timelineOrdinal":165,"processOrdinal":1,"method":"GET","routeClass":"timeline","status":200,"headerElapsedMs":11,"bodyElapsedMs":0,"totalElapsedMs":12,"bytes":83395,"phase":"complete","outcome":"ok"}
